year,amount,country_name,indicator,indicator_name
2000,468395521654.458,India,NY.GDP.MKTP.CD,GDP (current USD)
2001,485440139204.171,India,NY.GDP.MKTP.CD,GDP (current USD)
2002,514939140318.756,India,NY.GDP.MKTP.CD,GDP (current USD)
2003,607700687237.318,India,NY.GDP.MKTP.CD,GDP (current USD)
2004,709152728830.775,India,NY.GDP.MKTP.CD,GDP (current USD)
2005,820383763511.445,India,NY.GDP.MKTP.CD,GDP (current USD)
2006,940259888787.721,India,NY.GDP.MKTP.CD,GDP (current USD)
2007,1216736438834.96,India,NY.GDP.MKTP.CD,GDP (current USD)
2008,1198895139005.92,India,NY.GDP.MKTP.CD,GDP (current USD)
2009,1341888016994.9,India,NY.GDP.MKTP.CD,GDP (current USD)
2010,1675615519484.96,India,NY.GDP.MKTP.CD,GDP (current USD)
2011,1823051829894.55,India,NY.GDP.MKTP.CD,GDP (current USD)
2012,1827637590410.41,India,NY.GDP.MKTP.CD,GDP (current USD)
2013,1856721507621.58,India,NY.GDP.MKTP.CD,GDP (current USD)
2014,2039126479154.52,India,NY.GDP.MKTP.CD,GDP (current USD)
2015,2103588360044.94,India,NY.GDP.MKTP.CD,GDP (current USD)
2016,2294796885663.16,India,NY.GDP.MKTP.CD,GDP (current USD)
2017,2651474262755.45,India,NY.GDP.MKTP.CD,GDP (current USD)
2018,2702929641648.74,India,NY.GDP.MKTP.CD,GDP (current USD)
2019,2835606256558.19,India,NY.GDP.MKTP.CD,GDP (current USD)
2020,2674851578587.27,India,NY.GDP.MKTP.CD,GDP (current USD)
2021,3167270623260.47,India,NY.GDP.MKTP.CD,GDP (current USD)
2022,3249938492013.47,India,NY.GDP.MKTP.CD,GDP (current USD)
2023,3500906030644.76,India,NY.GDP.MKTP.CD,GDP (current USD)
